Instance,Algorithm,P1_Name,P1_Val,P2_Name,P2_Val,BestCost,Evaluations,TimeMicros
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,10,16114,25916,7468
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,4,16714,31464,9035
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,2,21530,32984,8636
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,10,17624,64448,9639
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,4,19366,96710,14640
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,2,14952,160246,24191
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,10,18656,78508,11774
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,4,18460,275614,73276
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,2,17624,79192,34407
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,10,16114,249432,73969
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,4,17624,149150,38253
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,2,16656,164464,33315
data\chr20c.dat,SA,Alpha,0.8,L_Factor,2,17912,12160,2478
data\chr20c.dat,SA,Alpha,0.8,L_Factor,5,17370,32300,6585
data\chr20c.dat,SA,Alpha,0.8,L_Factor,8,19160,51680,9451
data\chr20c.dat,SA,Alpha,0.85,L_Factor,2,22938,18240,2680
data\chr20c.dat,SA,Alpha,0.85,L_Factor,5,22862,40850,6517
data\chr20c.dat,SA,Alpha,0.85,L_Factor,8,16962,63840,9787
data\chr20c.dat,SA,Alpha,0.9,L_Factor,2,23270,17480,3073
data\chr20c.dat,SA,Alpha,0.9,L_Factor,5,19580,55100,10050
data\chr20c.dat,SA,Alpha,0.9,L_Factor,8,21146,77520,13569
data\chr20c.dat,SA,Alpha,0.95,L_Factor,2,19098,33820,4916
data\chr20c.dat,SA,Alpha,0.95,L_Factor,5,18300,97850,15175
data\chr20c.dat,SA,Alpha,0.95,L_Factor,8,17364,177840,27524
data\chr20c.dat,SA,Alpha,0.99,L_Factor,2,16012,170240,28686
data\chr20c.dat,SA,Alpha,0.99,L_Factor,5,16860,438900,68650
data\chr20c.dat,SA,Alpha,0.99,L_Factor,8,16258,680960,91082
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,10,23008,27208,4075
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,4,18218,12046,1809
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,2,17970,15580,2328
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,10,23890,16644,2474
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,4,17370,51262,7775
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,2,16758,28842,4324
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,10,22000,41192,6229
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,4,15792,153330,23013
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,2,17390,41116,6156
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,10,18776,102714,16212
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,4,14810,114988,17192
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,2,16240,128668,19425
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,10,19092,177498,26647
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,4,16114,226138,33843
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,2,17600,307686,46649
data\chr20c.dat,SA,Alpha,0.8,L_Factor,2,18110,15580,2085
data\chr20c.dat,SA,Alpha,0.8,L_Factor,5,18812,30400,3972
data\chr20c.dat,SA,Alpha,0.8,L_Factor,8,14810,59280,7938
data\chr20c.dat,SA,Alpha,0.85,L_Factor,2,17876,17480,2290
data\chr20c.dat,SA,Alpha,0.85,L_Factor,5,16966,48450,6356
data\chr20c.dat,SA,Alpha,0.85,L_Factor,8,19644,63840,8482
data\chr20c.dat,SA,Alpha,0.9,L_Factor,2,17150,22040,2893
data\chr20c.dat,SA,Alpha,0.9,L_Factor,5,17260,53200,6973
data\chr20c.dat,SA,Alpha,0.9,L_Factor,8,16996,89680,12034
data\chr20c.dat,SA,Alpha,0.95,L_Factor,2,17966,45600,5966
data\chr20c.dat,SA,Alpha,0.95,L_Factor,5,14810,117800,15475
data\chr20c.dat,SA,Alpha,0.95,L_Factor,8,16602,148960,19578
data\chr20c.dat,SA,Alpha,0.99,L_Factor,2,18394,170240,22407
data\chr20c.dat,SA,Alpha,0.99,L_Factor,5,15564,425600,56140
data\chr20c.dat,SA,Alpha,0.99,L_Factor,8,15146,699200,92767
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,10,18328,23598,3527
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,4,24344,19190,2866
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,2,24810,14706,2200
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,10,21888,32376,4861
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,4,17602,20710,3096
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,2,14812,63308,9479
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,10,20078,57532,8603
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,4,17370,98876,14844
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,2,16728,132620,19957
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,10,20856,83182,12709
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,4,18774,91884,13689
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,2,17164,156940,23426
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,10,17126,265316,93216
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,4,16114,291612,53537
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,2,16114,506160,89047
data\chr20c.dat,SA,Alpha,0.8,L_Factor,2,23936,14820,2277
data\chr20c.dat,SA,Alpha,0.8,L_Factor,5,16980,38950,6976
data\chr20c.dat,SA,Alpha,0.8,L_Factor,8,19366,53200,6938
data\chr20c.dat,SA,Alpha,0.85,L_Factor,2,22204,20520,2831
data\chr20c.dat,SA,Alpha,0.85,L_Factor,5,17508,46550,6193
data\chr20c.dat,SA,Alpha,0.85,L_Factor,8,21636,72960,9620
data\chr20c.dat,SA,Alpha,0.9,L_Factor,2,18642,29640,3887
data\chr20c.dat,SA,Alpha,0.9,L_Factor,5,18274,67450,8804
data\chr20c.dat,SA,Alpha,0.9,L_Factor,8,18772,69920,9467
