Instance, OptCost, Algorithm, Run, InitCost, FinalCost, Solution
els19,17212548,RS,10,52232498,32641164,12 4 5 16 14 15 6 11 7 13 3 18 9 10 19 17 2 1 8
els19,17212548,RW,10,52232498,32915112,2 1 9 14 18 3 12 6 13 11 5 7 8 17 15 16 10 4 19
els19,17212548,H,11,73360448,66095582,11 18 14 9 7 2 1 3 10 17 5 4 8 15 13 19 12 6 16
els19,17212548,G,11,73360448,20316024,1 2 3 17 8 13 9 6 12 18 7 10 4 11 19 14 15 16 5
els19,17212548,S,11,73360448,17937024,15 16 8 19 14 18 10 17 4 11 5 13 12 6 9 7 1 2 3
els19,17212548,RS,11,73360448,32562070,11 4 7 1 3 17 18 13 12 5 19 10 2 14 6 9 15 16 8
els19,17212548,RW,11,73360448,34066622,3 2 5 17 18 8 14 15 12 19 11 7 1 10 13 4 16 9 6
els19,17212548,H,12,44773186,60708818,18 11 13 9 8 2 1 3 4 12 10 5 7 15 14 19 17 6 16
els19,17212548,G,12,44773186,23499972,9 5 10 7 14 6 13 3 4 11 15 17 12 8 18 19 1 2 16
els19,17212548,S,12,44773186,23499972,9 5 10 7 14 6 13 3 4 11 15 17 12 8 19 18 1 2 16
els19,17212548,RS,12,44773186,36601556,5 18 14 4 11 12 9 17 7 13 1 3 2 8 16 15 6 10 19
els19,17212548,RW,12,44773186,33503098,11 7 4 15 16 8 1 13 6 10 5 9 19 17 18 14 12 2 3
els19,17212548,H,13,57177190,53491386,18 11 13 8 9 1 2 3 5 12 10 4 7 16 14 19 17 6 15
els19,17212548,G,13,57177190,27392596,16 15 10 4 17 5 18 9 13 1 3 6 2 8 19 14 11 12 7
els19,17212548,S,13,57177190,23674422,3 13 8 17 2 4 7 11 6 1 10 18 5 12 14 19 15 16 9
els19,17212548,RS,13,57177190,36865138,17 11 7 6 16 12 8 5 10 15 2 13 18 14 3 9 19 4 1
els19,17212548,RW,13,57177190,33877270,16 9 13 15 4 11 2 8 5 12 1 6 10 17 7 19 3 14 18
els19,17212548,H,14,50585166,61610014,18 11 17 9 8 2 1 3 4 12 10 5 7 16 14 19 13 6 15
els19,17212548,G,14,50585166,24095010,10 7 6 9 12 18 1 13 4 11 17 2 5 8 19 14 16 15 3
els19,17212548,S,14,50585166,21963122,7 5 10 9 11 14 17 4 13 12 1 3 6 8 19 18 15 16 2
els19,17212548,RS,14,50585166,35188944,9 19 5 3 13 6 4 1 12 18 10 14 17 7 11 8 16 15 2
els19,17212548,RW,14,50585166,35059416,15 7 8 17 2 16 12 5 4 3 10 14 1 13 18 6 9 11 19
els19,17212548,H,15,75311310,57136252,11 19 14 3 8 2 1 9 5 7 10 4 12 15 13 18 17 6 16
els19,17212548,G,15,75311310,20265368,1 2 3 17 10 13 9 4 12 6 7 18 5 11 19 14 15 16 8
els19,17212548,S,15,75311310,27750664,16 15 5 1 17 2 11 12 18 13 4 6 3 8 19 14 9 10 7
els19,17212548,RS,15,75311310,37978122,9 3 15 14 13 16 4 8 6 11 17 18 19 12 7 10 2 5 1
els19,17212548,RW,15,75311310,27220362,8 5 18 4 19 7 1 11 6 12 14 17 10 9 15 16 13 2 3
els19,17212548,H,16,60536116,60340304,11 14 13 9 7 2 4 3 5 12 10 1 8 16 19 18 17 6 15
els19,17212548,G,16,60536116,22820186,10 5 4 17 1 13 12 19 7 2 8 9 3 6 18 14 15 16 11
els19,17212548,S,16,60536116,17367328,11 12 8 19 14 18 13 17 6 9 10 5 7 4 16 15 1 2 3
els19,17212548,RS,16,60536116,29637682,12 8 7 18 15 13 19 3 4 14 6 9 16 5 17 11 2 1 10
els19,17212548,RW,16,60536116,31575396,17 6 9 1 10 8 19 5 11 3 12 7 2 4 14 13 18 16 15
els19,17212548,H,17,61426286,60649630,18 11 13 9 8 2 1 3 5 12 10 4 7 16 14 19 17 6 15
els19,17212548,G,17,61426286,20548518,9 10 5 6 11 12 8 17 15 14 4 13 7 16 19 18 1 2 3
els19,17212548,S,17,61426286,20508428,9 5 10 7 14 6 8 17 15 11 4 13 12 16 18 19 1 2 3
els19,17212548,RS,17,61426286,30999548,14 11 9 18 15 4 7 17 13 16 2 1 5 19 12 10 6 3 8
els19,17212548,RW,17,61426286,33397904,4 14 9 11 15 5 8 19 10 16 6 3 13 12 17 7 2 18 1
els19,17212548,H,18,53136680,60590620,18 11 13 9 7 2 1 3 5 12 10 4 8 16 19 14 17 6 15
els19,17212548,G,18,53136680,24423052,8 5 4 3 2 13 14 18 9 1 10 19 17 6 15 16 11 12 7
els19,17212548,S,18,53136680,22606386,2 1 3 5 10 4 19 8 7 6 11 14 17 9 16 15 18 13 12
els19,17212548,RS,18,53136680,35666882,19 11 17 4 9 13 15 8 16 14 5 3 10 12 18 7 2 1 6
els19,17212548,RW,18,53136680,29257852,7 11 17 10 9 5 2 12 19 14 4 3 18 8 15 16 6 13 1
els19,17212548,H,19,71545828,61019300,18 11 14 9 8 2 1 3 5 12 10 4 7 16 13 19 17 6 15
els19,17212548,G,19,71545828,24835656,12 11 14 18 16 19 10 4 2 15 3 5 8 1 7 9 6 13 17
els19,17212548,S,19,71545828,22789202,16 15 9 18 12 11 13 4 2 6 3 5 8 1 14 19 7 10 17
els19,17212548,RS,19,71545828,34179870,12 3 2 13 1 4 7 9 14 6 10 18 11 19 16 15 8 17 5
els19,17212548,RW,19,71545828,29765488,1 2 9 8 4 17 12 7 18 14 10 5 13 19 16 15 6 11 3
els19,17212548,H,20,36293158,54708072,18 11 13 9 8 1 2 3 10 12 5 4 7 16 19 14 17 6 15
els19,17212548,G,20,36293158,17997928,15 16 8 12 11 18 13 17 6 9 10 5 7 4 19 14 1 2 3
els19,17212548,S,20,36293158,17937024,15 16 8 18 14 19 10 17 4 11 5 13 12 6 7 9 1 2 3
els19,17212548,RS,20,36293158,35979660,16 19 6 15 7 5 12 11 18 9 2 1 17 3 14 13 8 10 4
els19,17212548,RW,20,36293158,35761484,5 4 3 13 2 17 16 6 15 1 10 12 14 9 8 11 18 7 19
els19,17212548,H,21,60178204,45429522,18 11 17 9 8 3 1 2 4 12 10 5 7 16 14 19 13 6 15
els19,17212548,G,21,60178204,18039214,15 16 8 7 12 18 13 17 6 11 10 5 9 4 14 19 1 2 3
els19,17212548,S,21,60178204,19332886,15 16 9 7 14 19 5 10 8 18 3 13 6 4 11 12 17 1 2
els19,17212548,RS,21,60178204,33530362,15 10 16 17 4 9 18 6 2 11 3 12 13 1 14 19 7 5 8
els19,17212548,RW,21,60178204,30201568,2 10 3 1 7 9 8 5 18 13 19 4 14 6 12 11 17 15 16
els19,17212548,H,22,64749338,55860312,18 11 13 9 7 1 2 3 5 12 10 4 8 16 14 19 17 15 6
els19,17212548,G,22,64749338,25708262,18 11 7 4 13 6 12 9 1 8 2 5 3 17 19 14 15 16 10
els19,17212548,S,22,64749338,17367328,11 12 8 18 14 19 13 17 6 9 10 5 7 4 15 16 1 2 3
els19,17212548,RS,22,64749338,30080360,8 5 10 7 15 18 17 14 19 6 9 3 16 11 13 4 12 2 1
els19,17212548,RW,22,64749338,30989986,17 12 9 3 8 4 10 19 6 13 18 7 5 11 16 15 1 2 14
els19,17212548,H,23,33067856,46980170,11 18 13 8 9 3 2 1 5 12 6 4 7 16 14 19 17 10 15
els19,17212548,G,23,33067856,17937024,15 16 8 18 14 19 10 17 4 11 5 13 12 6 7 9 1 2 3
els19,17212548,S,23,33067856,17997928,15 16 8 12 11 18 13 17 6 9 10 5 7 4 19 14 1 2 3
els19,17212548,RS,23,33067856,31374096,17 10 7 8 14 4 19 3 11 6 13 1 18 5 15 16 12 2 9
els19,17212548,RW,23,33067856,33067856,7 16 15 10 9 6 2 14 17 12 13 1 18 8 5 4 3 19 11
els19,17212548,H,24,42624200,60695362,18 11 13 9 8 2 1 3 5 12 10 4 7 15 14 19 17 6 16
els19,17212548,G,24,42624200,25491978,2 1 3 5 10 4 18 8 16 7 9 11 17 15 14 19 6 13 12
els19,17212548,S,24,42624200,24401890,2 1 17 3 5 13 11 19 16 4 6 9 10 15 7 18 14 8 12
els19,17212548,RS,24,42624200,31580984,12 3 10 14 18 9 8 2 4 16 7 5 15 6 11 19 17 1 13
els19,17212548,RW,24,42624200,30314602,10 4 19 18 9 14 1 2 12 6 5 7 13 8 16 15 3 11 17
els19,17212548,H,25,58886436,40896410,19 11 13 9 8 4 2 3 5 17 10 1 7 16 14 18 12 6 15
els19,17212548,G,25,58886436,18124442,15 16 8 19 14 18 13 17 6 9 10 5 7 4 11 12 1 2 3
els19,17212548,S,25,58886436,19848694,14 8 6 19 16 18 13 17 7 15 10 5 9 4 11 12 1 2 3
els19,17212548,RS,25,58886436,28206364,15 17 14 16 8 4 10 3 5 18 6 12 13 9 19 11 1 2 7
els19,17212548,RW,25,58886436,32394272,6 14 7 11 16 15 5 3 17 8 1 18 12 13 10 19 4 9 2
els19,17212548,H,26,64322606,57000346,19 11 13 3 8 2 1 9 4 17 10 5 7 16 14 18 12 6 15
els19,17212548,G,26,64322606,22324310,12 6 7 11 14 9 4 8 1 5 2 13 10 17 19 18 15 16 3
els19,17212548,S,26,64322606,17351492,9 10 5 7 14 19 8 17 18 11 4 13 12 6 15 16 1 2 3
els19,17212548,RS,26,64322606,33663742,1 10 2 12 16 11 7 5 13 15 4 19 3 17 18 6 14 8 9
els19,17212548,RW,26,64322606,33905780,19 14 12 16 15 5 11 7 2 13 3 17 9 1 8 10 4 6 18
els19,17212548,H,27,54955268,63823764,18 11 17 9 8 2 1 3 5 12 10 4 7 16 14 19 13 15 6
els19,17212548,G,27,54955268,23822616,1 2 3 17 6 13 14 18 15 9 7 19 10 16 11 12 4 5 8
els19,17212548,S,27,54955268,21274978,2 1 17 3 4 5 19 18 14 8 6 11 13 7 15 16 9 10 12
els19,17212548,RS,27,54955268,36913988,6 4 17 7 18 11 5 14 8 19 16 3 15 9 12 10 1 13 2
els19,17212548,RW,27,54955268,32230336,6 14 18 19 11 9 3 5 4 10 2 7 1 8 16 15 17 13 12
els19,17212548,H,28,42611342,53527248,11 18 13 9 7 1 2 3 5 12 10 4 8 15 14 19 17 6 16
els19,17212548,G,28,42611342,23594578,8 4 5 17 1 13 19 14 7 2 10 18 3 6 15 16 11 12 9
els19,17212548,S,28,42611342,23594578,8 4 5 13 1 17 19 14 7 2 10 18 3 6 15 16 11 12 9
els19,17212548,RS,28,42611342,37794196,2 5 1 10 18 8 3 4 15 14 11 19 12 16 6 13 17 9 7
els19,17212548,RW,28,42611342,34312498,15 3 16 14 6 4 11 9 10 18 7 17 5 12 13 19 2 1 8
els19,17212548,H,29,47019052,65586614,11 18 14 8 9 2 1 3 4 17 10 5 7 15 13 19 12 6 16
els19,17212548,G,29,47019052,26873500,8 4 5 17 1 13 18 19 15 2 10 6 3 16 11 12 14 7 9
els19,17212548,S,29,47019052,20508428,9 5 10 7 14 6 8 17 15 11 4 13 12 16 18 19 1 2 3
els19,17212548,RS,29,47019052,30883666,10 13 9 7 14 5 11 4 16 18 15 12 8 6 19 17 3 2 1
els19,17212548,RW,29,47019052,33308782,14 3 18 11 19 10 4 5 15 6 16 17 9 8 12 7 13 1 2
els19,17212548,H,30,43062838,61104450,11 14 13 9 7 2 1 3 5 12 6 4 8 16 19 18 17 10 15
els19,17212548,G,30,43062838,28743404,10 1 2 9 19 7 16 8 6 14 4 15 5 18 11 12 17 3 13
els19,17212548,S,30,43062838,27125362,10 1 2 9 14 5 7 4 16 11 8 6 12 15 19 18 17 3 13
els19,17212548,RS,30,43062838,34185956,13 9 6 11 5 17 2 3 8 10 4 1 18 19 15 16 7 12 14
els19,17212548,RW,30,43062838,37276970,16 15 10 9 2 5 19 3 6 17 11 8 1 7 18 12 14 13 4
els19,17212548,H,31,62280610,56315062,18 11 13 3 8 2 4 9 5 17 6 1 7 16 14 19 12 10 15
els19,17212548,G,31,62280610,18128112,15 16 6 19 14 18 13 17 4 9 10 5 7 8 11 12 1 2 3
els19,17212548,S,31,62280610,22687686,2 1 3 5 10 4 18 13 7 6 9 12 17 11 14 19 15 16 8
els19,17212548,RS,31,62280610,34180190,16 9 15 11 19 6 13 1 14 5 3 12 8 18 4 17 10 7 2
els19,17212548,RW,31,62280610,28623098,4 9 18 14 10 8 12 19 5 7 3 2 11 13 15 16 17 1 6
els19,17212548,H,32,56408198,58950010,18 11 13 2 8 3 1 9 4 17 10 5 7 16 14 19 12 15 6
els19,17212548,G,32,56408198,22580388,12 11 14 18 6 19 10 5 2 8 3 13 4 1 7 9 16 15 17
els19,17212548,S,32,56408198,22495350,12 11 9 18 7 19 13 8 2 6 3 5 10 1 14 4 16 15 17
els19,17212548,RS,32,56408198,35975752,5 13 16 19 14 15 1 2 4 6 10 8 9 7 12 18 3 17 11
els19,17212548,RW,32,56408198,33320612,10 15 16 6 12 4 3 8 9 7 2 1 5 19 14 18 11 17 13
els19,17212548,H,33,45582706,60602670,19 11 13 9 7 2 1 3 5 12 10 4 8 16 14 18 17 6 15
els19,17212548,G,33,45582706,22918784,8 4 5 17 1 13 12 11 7 2 10 18 3 6 14 19 15 16 9
els19,17212548,S,33,45582706,20265368,1 2 3 17 10 13 9 4 12 6 7 18 5 11 14 19 15 16 8
els19,17212548,RS,33,45582706,33635656,7 5 17 19 13 9 2 14 1 6 3 8 18 11 4 12 15 16 10
els19,17212548,RW,33,45582706,28401990,2 3 7 1 17 13 18 14 19 10 6 11 4 5 12 9 16 8 15
els19,17212548,H,34,65835652,60667912,18 11 13 9 8 2 1 3 6 7 5 4 12 16 14 19 17 10 15
els19,17212548,G,34,65835652,20508428,9 5 10 7 14 6 8 17 15 11 4 13 12 16 19 18 1 2 3
els19,17212548,S,34,65835652,21689018,18 9 12 11 14 19 4 6 3 7 2 13 8 17 16 15 5 10 1
els19,17212548,RS,34,65835652,33750366,18 16 4 19 6 11 13 5 10 12 17 7 15 3 14 9 1 2 8
els19,17212548,RW,34,65835652,30863126,17 13 18 9 10 6 14 19 2 8 1 5 7 3 16 15 4 11 12
els19,17212548,H,35,54629024,57331752,11 18 17 8 3 2 4 9 6 12 5 1 7 16 14 19 13 10 15
els19,17212548,G,35,54629024,20265368,1 2 3 17 10 13 9 4 12 6 7 18 5 11 14 19 15 16 8
els19,17212548,S,35,54629024,24297072,13 4 3 5 17 8 18 6 9 1 10 14 2 19 11 12 15 16 7
els19,17212548,RS,35,54629024,26754486,15 16 17 4 5 10 9 1 14 18 13 11 7 19 6 12 8 2 3
els19,17212548,RW,35,54629024,33226516,1 2 9 14 7 5 10 19 17 8 6 3 13 4 16 15 12 11 18
els19,17212548,H,36,34503826,61693556,18 11 14 9 8 2 4 3 5 12 6 1 7 16 13 19 17 10 15
els19,17212548,G,36,34503826,19424882,15 16 12 14 11 19 5 13 4 18 3 10 6 8 9 7 17 1 2
els19,17212548,S,36,34503826,22756804,16 15 14 11 12 19 10 4 2 18 3 5 8 1 9 7 6 13 17
els19,17212548,RS,36,34503826,32609360,4 8 5 14 15 16 9 10 6 7 11 19 12 3 17 18 1 2 13
els19,17212548,RW,36,34503826,29413278,16 14 15 10 6 11 4 7 17 12 13 3 19 5 8 9 1 2 18
els19,17212548,H,37,53253024,61566934,14 11 13 3 8 1 2 9 5 17 10 4 7 15 19 18 12 6 16
els19,17212548,G,37,53253024,19612684,9 10 7 12 16 18 13 17 6 15 4 5 11 8 14 19 1 2 3
els19,17212548,S,37,53253024,19692188,11 8 6 12 16 18 10 17 7 15 4 13 14 5 19 9 1 2 3
els19,17212548,RS,37,53253024,33640224,11 6 14 13 17 5 4 8 9 19 2 7 1 18 16 15 3 12 10
els19,17212548,RW,37,53253024,37970262,2 1 16 12 4 10 9 14 17 19 8 5 15 3 18 7 11 13 6
els19,17212548,H,38,81415232,45054028,18 11 13 8 9 3 1 2 10 12 5 4 7 16 14 19 17 6 15
els19,17212548,G,38,81415232,24807852,16 15 8 17 1 13 7 19 5 2 10 6 3 4 18 14 11 12 9
els19,17212548,S,38,81415232,17374134,11 8 7 12 19 18 13 17 6 14 10 5 9 4 15 16 1 2 3
els19,17212548,RS,38,81415232,27699888,8 7 19 12 14 11 6 5 2 18 17 13 4 1 16 15 3 10 9
els19,17212548,RW,38,81415232,31855468,12 9 14 16 11 15 19 1 18 5 3 17 7 6 4 13 10 8 2
els19,17212548,H,39,45996668,56835022,18 11 13 3 8 2 1 9 5 17 6 4 7 16 14 19 12 10 15
els19,17212548,G,39,45996668,19862748,11 6 7 12 16 9 13 10 8 15 4 17 18 5 19 14 1 2 3
els19,17212548,S,39,45996668,20238374,15 16 7 18 11 9 8 4 6 12 1 13 10 5 14 19 17 3 2
els19,17212548,RS,39,45996668,31275476,18 7 14 8 4 11 1 2 10 19 3 13 6 17 12 9 5 16 15
els19,17212548,RW,39,45996668,29954892,9 19 17 5 7 13 10 11 4 8 12 6 18 3 15 16 14 2 1
els19,17212548,H,40,43423198,56390664,18 11 13 3 7 2 1 9 4 8 10 5 12 16 14 19 17 6 15
els19,17212548,G,40,43423198,24085174,7 8 6 18 12 14 1 13 10 11 17 2 9 5 19 4 16 15 3
els19,17212548,S,40,43423198,20508428,9 5 10 7 14 6 8 17 15 11 4 13 12 16 19 18 1 2 3
els19,17212548,RS,40,43423198,31953436,11 18 12 9 4 5 14 13 8 15 2 3 16 19 6 10 17 1 7
els19,17212548,RW,40,43423198,29277502,3 2 1 17 14 10 5 19 15 8 12 18 7 16 9 4 13 11 6
els19,17212548,H,41,64267812,56299662,18 11 13 3 8 2 1 9 10 12 5 4 7 16 14 19 17 6 15
els19,17212548,G,41,64267812,17997928,15 16 8 12 11 18 13 17 6 9 10 5 7 4 14 19 1 2 3
els19,17212548,S,41,64267812,19641670,11 12 8 19 16 18 10 17 5 15 4 13 14 6 7 9 1 2 3
els19,17212548,RS,41,64267812,34300728,14 7 5 9 3 13 1 11 17 18 2 8 10 4 12 6 15 16 19
els19,17212548,RW,41,64267812,33288878,11 13 7 8 17 14 10 18 3 1 2 5 19 12 9 4 16 15 6
els19,17212548,H,42,51481376,60783030,11 14 13 9 8 2 10 3 4 12 5 1 7 16 19 18 17 6 15
els19,17212548,G,42,51481376,22245476,12 18 6 11 9 7 4 8 1 5 2 13 10 17 14 19 15 16 3
els19,17212548,S,42,51481376,22306350,11 12 10 9 18 7 4 5 15 6 3 13 8 16 19 14 17 1 2
els19,17212548,RS,42,51481376,31829874,19 11 13 17 1 10 16 12 7 2 18 15 3 9 8 6 14 4 5
els19,17212548,RW,42,51481376,31360930,4 6 8 5 18 3 17 12 10 7 1 11 2 9 14 19 15 16 13
els19,17212548,H,43,65616794,65811026,18 11 13 9 8 2 1 3 4 17 10 5 12 16 14 19 7 6 15
els19,17212548,G,43,65616794,22495350,12 11 9 18 7 19 13 8 2 6 3 5 10 1 14 4 16 15 17
els19,17212548,S,43,65616794,25608576,2 1 17 3 4 5 15 6 19 8 11 16 13 7 18 14 9 10 12
els19,17212548,RS,43,65616794,37262134,4 5 7 14 19 13 2 8 10 9 16 3 12 6 18 11 17 15 1
els19,17212548,RW,43,65616794,33755008,15 16 6 4 9 10 14 2 5 19 11 1 13 7 12 17 3 18 8
els19,17212548,H,44,60545110,60969130,18 11 13 9 8 2 1 3 10 12 5 4 7 16 19 14 17 6 15
els19,17212548,G,44,60545110,27086646,10 1 2 9 15 7 18 8 12 16 4 6 5 11 14 19 17 3 13
els19,17212548,S,44,60545110,21136856,2 1 17 3 5 8 14 19 10 4 6 11 13 9 7 18 15 16 12
els19,17212548,RS,44,60545110,35174152,3 1 2 16 9 15 4 17 18 6 5 10 13 14 11 19 7 8 12
els19,17212548,RW,44,60545110,35896976,13 4 7 8 5 6 16 3 1 12 17 15 19 2 11 9 10 18 14
els19,17212548,H,45,60886252,60418736,18 11 13 8 9 2 1 3 5 12 10 4 7 15 19 14 17 6 16
els19,17212548,G,45,60886252,27750664,16 15 5 1 17 2 11 12 18 13 4 6 3 8 19 14 9 10 7
els19,17212548,S,45,60886252,20871282,1 2 3 17 10 13 14 18 12 9 7 19 5 11 16 15 6 4 8
els19,17212548,RS,45,60886252,34447410,13 5 10 19 16 11 18 6 1 15 2 8 17 3 7 4 14 9 12
els19,17212548,RW,45,60886252,31956760,1 2 3 19 18 7 17 13 10 11 16 5 6 8 14 12 4 9 15
els19,17212548,H,46,60985556,66971656,18 11 14 3 8 1 2 9 5 12 6 4 7 16 13 19 17 10 15
els19,17212548,G,46,60985556,18039214,15 16 8 7 12 18 13 17 6 11 10 5 9 4 14 19 1 2 3
els19,17212548,S,46,60985556,20282878,1 2 3 17 18 13 9 4 12 6 7 10 8 11 14 19 15 16 5
els19,17212548,RS,46,60985556,34461720,9 12 6 3 14 18 10 19 5 13 1 7 2 11 16 15 17 8 4
els19,17212548,RW,46,60985556,37128806,5 12 7 9 10 17 2 19 3 15 8 1 16 18 4 14 11 6 13
els19,17212548,H,47,67454226,56107228,13 11 14 3 8 2 4 9 5 12 10 1 7 16 19 18 17 6 15
els19,17212548,G,47,67454226,25796584,2 1 17 3 5 13 15 19 9 4 6 16 10 7 18 14 12 8 11
els19,17212548,S,47,67454226,23539778,10 5 4 17 1 13 18 14 7 2 8 9 3 6 16 15 19 12 11
els19,17212548,RS,47,67454226,31780898,9 12 13 8 15 11 19 5 10 16 18 2 4 3 6 7 17 1 14
els19,17212548,RW,47,67454226,31059088,11 3 14 8 5 7 6 12 17 16 10 4 15 9 19 18 13 2 1
els19,17212548,H,48,60122708,49038434,18 11 14 9 8 3 1 2 4 12 10 5 7 16 13 19 17 15 6
els19,17212548,G,48,60122708,17937024,15 16 8 19 14 18 10 17 4 11 5 13 12 6 7 9 1 2 3
els19,17212548,S,48,60122708,17937024,15 16 8 19 14 18 10 17 4 11 5 13 12 6 9 7 1 2 3
els19,17212548,RS,48,60122708,33335044,9 5 8 14 6 12 7 15 17 11 13 4 18 1 19 10 2 16 3
els19,17212548,RW,48,60122708,34272320,2 3 4 17 1 10 6 9 16 11 5 8 14 15 19 7 12 18 13
els19,17212548,H,49,45254608,61593982,18 11 17 9 8 2 1 3 5 12 10 4 7 16 14 19 13 6 15
els19,17212548,G,49,45254608,25215888,7 5 10 9 14 19 13 15 8 18 17 3 6 4 11 12 16 2 1
