Instance, OptCost, Algorithm, Run, BestCost, Steps, Evaluations, TimeMicros
data\tai50a.dat,4938796,RandomWalk,3,5672604,11303,11303,5266
data\tai50a.dat,4938796,Heuristic,4,5826964,0,0,22
data\tai50a.dat,4938796,Greedy,4,5183744,83,6611,1888
data\tai50a.dat,4938796,Steepest,4,5180118,29,36750,9490
data\tai50a.dat,4938796,RandomSearch,4,5742394,2,777,5696
data\tai50a.dat,4938796,RandomWalk,4,5676204,10791,10791,5690
data\tai50a.dat,4938796,Heuristic,5,5967762,0,0,15
data\tai50a.dat,4938796,Greedy,5,5196378,82,8877,3144
data\tai50a.dat,4938796,Steepest,5,5239564,27,34300,10831
data\tai50a.dat,4938796,RandomSearch,5,5725992,6,801,6992
data\tai50a.dat,4938796,RandomWalk,5,5672340,15300,15300,6987
data\tai50a.dat,4938796,Heuristic,6,5821374,0,0,14
data\tai50a.dat,4938796,Greedy,6,5170246,94,12828,3369
data\tai50a.dat,4938796,Steepest,6,5223604,31,39200,9838
data\tai50a.dat,4938796,RandomSearch,6,5722332,5,895,6604
data\tai50a.dat,4938796,RandomWalk,6,5683066,15172,15172,6603
data\tai50a.dat,4938796,Heuristic,7,5896834,0,0,14
data\tai50a.dat,4938796,Greedy,7,5166802,73,10732,2818
data\tai50a.dat,4938796,Steepest,7,5235440,21,26950,6787
data\tai50a.dat,4938796,RandomSearch,7,5746434,5,584,4805
data\tai50a.dat,4938796,RandomWalk,7,5679232,9649,9649,4803
data\tai50a.dat,4938796,Heuristic,8,5899326,0,0,14
data\tai50a.dat,4938796,Greedy,8,5213892,75,5893,1945
data\tai50a.dat,4938796,Steepest,8,5152420,40,50225,13415
data\tai50a.dat,4938796,RandomSearch,8,5717770,7,1055,7680
data\tai50a.dat,4938796,RandomWalk,8,5686128,14327,14327,7681
data\tai50a.dat,4938796,Heuristic,9,5885350,0,0,14
data\tai50a.dat,4938796,Greedy,9,5186534,105,8022,2017
data\tai50a.dat,4938796,Steepest,9,5202868,25,31850,8105
data\tai50a.dat,4938796,RandomSearch,9,5713418,9,726,5061
data\tai50a.dat,4938796,RandomWalk,9,5696938,11196,11196,5061
data\tai50a.dat,4938796,Heuristic,10,5802746,0,0,12
data\tai50a.dat,4938796,Greedy,10,5180604,83,6302,1594
data\tai50a.dat,4938796,Steepest,10,5138018,39,49000,12716
data\tai50a.dat,4938796,RandomSearch,10,5728790,5,1001,7158
data\tai50a.dat,4938796,RandomWalk,10,5701020,16385,16385,7155
